title,cluster
Membangun Pembelajara Berbasis Web (E-Learning) Bagi Guru Sekolah Dasar Pinggiran Kecamatan Muara Bangkahulu Kota Bengkulu,0
rancang bangun mobil hybrid (tenaga angin dan tenaga surya) zero pullution,0
analisa kualitas penyaluran daya pada sistem distribusi siborong-borong sumatera utara dengan pengaturan sistem injeksi pembangkit tersebar,0
penerapan teknologi penjernih air pada kelompok usaha tahu dalam upaya peningkatan kualitas tahu di kota bengkulu,0
pre-diagnosis gangguan ginjal melalui citra iris mata menggunakan raspberry pi dengan metode convolutional neural network (cnn),0
rancang bangun sistem kendali kecepatan motor induksi 1 fasa dengan pengaturan sudut penyalaan (firing angle) triac pada konveyor model rotary pengering karet,0
pengujian sludge battery dengan teknologi microbial fuel cell sebagai sumber energi listrik terbarukan,0
perancangan perancangan boost converter pada mobil hybrid (tenaga angin dan surya),0
perancangan prototype sistem keluar masuk kendaraan dengan proses lpr (license plate recognition) dan qr (quick response) code di universitas bengkulu,0
rancang bangun pemantau detak jantung dan suhu tubuh portabel dengan sistem iot,0
peningkatan efisiensi pembibitan ayam buras menggunakan mesin tetas telur otomatis dengan kendali temperatur berbasis pid dan back-up daya solar cell,0
"analisa perbandingan metode filter gaussian, mean dan median terhadap reduksi noise",0
kendali robot bluetooth dengan smartphone android berbasis arduino uno,0
papan informasi digital dinamis berbasis atmega 8535 dengan media perantara bluetooth di laboraturium hadware universitas dehasen bengkulu,0
papan informasi digital berbasis arduino dan android di laboratorium hardware universitas dehasen bengkulu,0
pengaruh perhitungan flow gas terhadap perubahan suhu gas alam dengan alat ukur orifice meter,0
"mobil remote control berbasis arduino dengan sistem kendali menggunakan android,",0
rancang bangun mobil hybrid (tenaga angin dan tenaga surya) zero polution,0
analisa performance pompa sentrifugal item 6p-4021-j yang dipengaruhi kondisi strainer terhadap efisiensi kerja yang dihasilkan,0
pengenalan metode geofisika dan geoteknik dalam pembelajaran fisika bagi siswa sman 3 kota bengkulu,0
karakteristk gempa di kota bengkulu,0
pengenalan alat hand sanitizer tanpa sentuh untuk pencegahan penyebaran covid-19 di masjid sekitaran kota bengkulu,0
Pengaruh Penambahan Katalis Terhadap Sifat Mekanis Resin Poliester Tak Jenuh,0
Pengaruh Perlakuan Alkali-silan terhadap Sifat Mekanis Komposit Hibrid yang Diperkuat Serat Agel dan Serat Gelas,0
PENGARUH PERLAKUAN ALKALI DAN SUSUNAN SERAT TERHADAP WATER ABSORPTION PADA KOMPOSIT HYBRID BERPENGUAT SERAT AGEL TENUN/SERAT GELAS/RESIN POLIESTER,0
metode penerapan piko hidro sebagai pembangkit listrik mandiri dalam komunikasi pembangunan bagi masyarakat di daerah terpencil: studi kasus bengkulu,0
OPTIMASI SERAT DAUN AGEL (CORYPHA GEBANGA) SEBAGAI PENGUAT KOMPOSIT RESIN POLIESTER UNTUK BAHAN BAKU KAPAL IKAN,0
analisa headlosses dan efisiensi glouds 3196 pompa sentrifugal dari tangki minyak mentah ke tangki pengumpulan,0
"analisa efektifitas heat exchanger pada kondisi operasi (studi kasus di unit 1pembangkit listrik tenaga air (plta) musi pt. pln-persero, kec. ujan mas, kab. kepahiang, propinsi …",0
implementasi metode ahp-topsis dalam sistem pendukung keputusan penentuan prioritas bantuan usaha kecil dan menengah di kota tegal,0
"efek beban pendingin terhadap temperatur mesin refrigerasi siklus kompresi uap hibrida dengan kondensor dummy tipe trombone coil (1/4 ″, 7, 9 m) sebagai water heater",0
peningkatan pendapatan melalui pendampingan pengembangan usaha mikro emping melinjo dikelurahan kandang kota bengkulu,0
ibm mesin pengolah sampah rumah tangga untuk menunjang program pembangunan di bidang kebersihan di kota bengkulu,0
kaji karakteristik mekanisme furling control model turbin angin dengan sudut ekor 0o,0
sosialisasi tanggap darurat dan keselamatan bagi masyarakat daerah rawan gempa,0
rancang bangun prototipe pengendali pintu air berbasis sms (short message service) untuk pengairan sawah menggunakan arduino,0
analisa implementasi teknik reconnaissance pada webserver (studi kasus: upt puskom universitas dehasen),0
manajemen pengunjung di taman pintar,0
pengenalan steganografi untuk pengamanan informasi bagi siswa siswi di sma n 9 kota bengkulu,0
pemanfaatan citra penginderaan jauh dan sistem informasi geografis dalam pemetaan potensi daerah resapan air untuk pelestarian waduk selorejo kabupaten malang provinsi jawa timur,0
kompresi citra batik besurek menggunakan discrete wavelet transform,0
implementasi program literasi sains berbasis ict di sd negeri 07 kota bengkulu,0
peningkatan keterampilan guru sd dalam pembuatan media animasi untuk menanamkan sikap pelestarian hewan bagi siswa,0
aspek pembentuk kawasan transit terhadap hibriditas kawasan stasiun solobalapan dan terminal tirtonadi kota surakarta,0
pengembangan technopreneur produk turunan kopi berbasis market place guna menuju masyarakat ekonomi kreatif,0
rancang bangun sistem informasi pemantau transportasi zat radioaktif dengan input sms terenkripsi dan non-enkripsi (studi kasus: batan yogyakarta),0
perancangan framework mobile device management pada platform android,0
"pemberdayaan santri pesantren berwawasan keahlian, keterampilan, dan kemampuan soft skill di provinsi bengkulu",0
implementasi prinsip animasi straight ahead action pada karakter hewan berbasis animasi 2d,0
sosialisasi pencegahan iklan berkonten negatif pada smartphone android di sma negeri 9 kota bengkulu,0
pengembangan keterampilan dan kemampuan guru smkn 2 kota tegal dalam melakukan penelitian dan pembuatan karya ilmiah,0
penggunaan aplikasi mobile untuk pembelajaran muatan lokal potensi alam bengkulu,0
rancang bangun prototype kursi roda menggunakan arduino r3 berbasis android,0
pengembangan kawasan transit oriented development (tod) berbasis integrasi stasiun solobalapan-terminal tirtonadi di kota surakarta,0
"integrasi di kawasan strategis cagar budaya benteng malborough, bengkulu",0
pelatihan pembuatan mesin penetas telur puyuh otomatis untuk meningkatkan pendapatan masyarakat di kelurahan sukarami bengkulu,0
pendampingan pembuatan desain kawasan pariwisata berbasis cbt (community based tourism) bagi pokdarwis di kawasan danau gedang kabupaten bengkulu tengah,0
"karakter bentuk hunian suku rejang di daerah rawan gempa (studi kasus: desa gunung alam, kabupaten lebong)",0
pembinaan pemeliharaan bangunan drainase bagi masyarakat desa srikuncoro kecamatan pondok kelapa kabupaten bengkulu tengah,0
pengembangan penyuluhan urgensi keselamatan dan kesehatan kerja (k3) serta pelatihan penggunaan alat pelindung diri (apd) bagi persatuan tukang mandiri,0
desain konfigurasi bangunan dan hubungannya dengan aktivitas akademik dalam upaya mitigasi bencana (studi kasus pada klaster fkip universitas bengkulu,0
klasifikasi daya tarik wisata unggulan provinsi bengkulu sebagai upaya menyongsong visit 2020 wonderful bengkulu,0
model longsor akibat perubahan iklim dengan menggunakan digital elevation models dan geoslope,0
"kajian identitas pusat kota lama bengkulu dengan referensi rossi dan trancik,",0
"konsep desain pengembangan kawasan strategis pariwisata palak siring, kabupaten bengkulu utara",0
kajian kondisi jalur pejalan kaki di dalam kawasan kampus universitas bengkulu,0
memahami pengaruh preseden arsitektur pada karakteristik bentuk fasad mall sebagai bangunan komersial di kota bengkulu,0
penyuluhan pendampingan kegiatan masyarakat dalam upaya penanggulangan covid-19 di rt 08 gang hidayah kelurahan rawa makmur kota bengkulu,0
"kajian perilaku wisatawan dan pkl di lapangan merdeka bengkulu pada fase normal baru,",0
"identifikasi arsitektur tropis pada bangunan lama di jalan siti khadijah kota bengkulu,",0
pemanfaatan bahan ramah lingkungan untuk desain penghijauan vertikal sebagai upaya menciptakan kenyamanan termal,0
penggunaan modul thermoelectric sebagai elemen pendingin box coole,0
rancang bangun sistem rental mobil di wilayah kota bengkulu dengan menerapkan metode electre iv dalam membuat keputusan pemilihan mobil rental berbasis website online,0
perbandingan pengolahan das bengkulu menggunakan ndvi dan maximum likelihood,0
pemetaan daerah kawasan banjir kecamatan sungai serut kota bengkulu,0
peningkatan keterampilan guru dan siswa dalam era digital 4.0 melalui pemanfaatan google forms di sman 9 kota bengkulu,0
tanggap bencana melalui pendidikan yang berkelanjutan bagi masyarakat bengkulu,0
design grafis training sebagai upaya pembekalan soft skill terhadap siswa-siswi smp negeri 11,0
penentuan karyawan terbaik pada collection pt. panin bank menggunakan metode smart,0
Evaluasi template matching pada pelacakanmarkerless terhadap kemampuan perangkat smartphone,0
Pengaruh Gradasi Pasir di Kota Bengkulu Terhadap Kekuatan Mortar,0
Aplikasi biometrika pencocokan citra garis telapak tangan dengan metode transformasi wavelet dan mahalanobis distance,0
PENGETAHUAN MAHASISWA TEKNIK SIPIL UNIVERSITAS BENGKULU MENGENAI KESEHATAN DAN KESELAMATAN KERJA KONSTRUKSI,0
